,x,y,idEditais,autuado,nrEdital,anoEdital,siglaLicitante,nomeLicitante,dtPublicacao,nrDodf,anoDodf,dtAbertura,modalidadeLicitacao,vrEstimado,prazo,prazoAbertura,tpPrazo,ementaObj,descObjeto,nrgdf,anogdf,classifObjeto,label
0,6.2641873,-3.8053932,4294,NÃO,20,2015,SSP,Secretaria de Estado de Segurança Pública e da Paz Social,2015-07-28,144.0,2015.0,2015-09-03 00:00:00,PREG?O ELETR?NICO,1548202.31,,12.0,DIAS,VIATURA TIPO LANCHA DE SALVAMENTO -  SUSPENSO,"AVISO DE ABERTURA DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 48/2014.
PROCESSO: 050.000.662/2014. TIPO: Menor Preço. OBJETO: Aquisição de uma viatura
tipo lancha de salvamento, resgate e combate a incêndio para o Corpo de Bombeiros Militar do
Distrito Federal; conforme especificações e condições estabelecidas no Termo de Referência
constante do Anexo I do Edital. Convênio nº 802.614/2014-MJ/SSPDF. VALOR ESTIMADO:
R$ 1.548.358,11. DOTAÇÃO: UO 24.101 ? PROG. TRAB.: 06.181.6217.1569.0001 ? FR: 132
e 100 ? ND: 4490.52. PRAZOS: Entrega: Não superior a 120 dias corridos a partir da data de
assinatura do contrato. Vigência do Contrato: 31/12/2015 a partir da sua assinatura. DATA DA
SESSÃO PÚBLICA: 23/12/2014 às 08h00min no endereço www.comprasnet.gov.br UASG
450107. Edital está disponível no endereço acima e no http://licitacoes.ssp.df.gov.br.
Brasília/DF, 10 de dezembro de 2014.
ÁLVARO HENRIQUE FERREIRA DOS SANTOS
Subsecretário de Administração Geral



AVISO DE ABERTURA DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 2",,,AQUISIÇÃO (OUTROS),Unlabeled
1,-22.835785,-18.529885999999998,4351,NÃO,104,2014,BRB,Banco de Brasília S/A,2015-01-06,5.0,2015.0,2015-01-20 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),257280.0,,14.0,DIAS,TENDAS PIRAMIDAIS E GRADES DE CONTENÇÃO,"AVISO DE PREGÃO ELETRÔNICO Nº 104/2014.
O BRB - BANCO DE BRASÍLIA S/A. torna pública a data de realização do Pregão Eletrônico nº
104/2014. Data, horário e endereço eletrônico para abertura: 20/01/2015, às 10 horas (horário de Brasília),
www.comprasgovernamentais.gov.br. Objeto: Registro de Preços para locação de tendas piramidais e
grades de contenção, conforme Edital e anexos. Valor estimado: R$ 257.280,00 (duzentos e cinquenta
e sete mil, duzentos e oitenta reais). Local de obtenção do edital: www.comprasgovernamentais.gov.br.
UASG: 925008. Processo nº 1243/2014.
CARLOS F. L. FAGUNDES
Pregoeiro",,,LOCAÇÃO (OUTROS),Unlabeled
2,3.071602,-14.407581,4352,NÃO,1,2015,CAESB,Companhia de Saneamento do Distrito Federal,2015-01-06,5.0,2015.0,2015-01-19 00:00:00,PREG?O ELETR?NICO,106615.33,,13.0,DIAS,PEÇAS DE REPOSIÇÃO E ACESSÓRIOS GENUÍNOS,"AVISO DE LICITAÇÃO
A Caesb torna público que realizará o Pregão Eletrônico PE-001/2015, processo nº 092.004948/2014.
Tipo de licitação: Menor Preço. Objeto: Aquisição de peças de reposição e acessórios genuínos e
originais para compressores da marca Chicago Pneumatic, conforme quantidades e especificações
técnicas constantes nos anexos. Valor estimado: R$ 106.615, 33. Data final para recebimento das
Propostas: 19/01/2015, às 08h30min. Início da sessão de disputa: 19/01/2015, às 10h. O edital e
seus anexos poderão ser encontrados no site www.licitacoes-e.com.br, ID: 571264, a partir do dia
06/01/2015. Informações: (61) 3213-7575, pregao@caesb.df.gov.br.
Brasília/DF, 02 de janeiro de 2015.
Pregoeiro: GILMAR PERES MONTEIRO

AVISO DE ABERTURA DE LICITAÇÃO
A Caesb torna público que realizará o Pregão Eletrônico nº 01/2015, processo 092.004948/2014,
tipo de licitação: menor preço, Objeto: Aquisição de peças de reposição para compressores Chicago
Pneumatic, Valor estimado: R$ 106.615,33, marcada anteri",92004948.0,2014.0,AQUISIÇÃO (OUTROS),Unlabeled
3,3.109442,-14.376470999999999,4353,NÃO,2,2015,CAESB,Companhia de Saneamento do Distrito Federal,2015-01-06,5.0,2015.0,2015-01-20 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),134969.95,,14.0,DIAS,MATERIAIS DE LIMPEZA,"AVISO DE LICITAÇÃO
A Caesb torna público que realizará o Pregão Eletrônico PE-002/2015, processo nº 092.008237/2014.
Tipo de licitação: Menor Preço. Objeto: Registro de preços para aquisição de materiais de limpeza,
conforme quantidades e especificações técnicas constantes no Edital e nos anexos. Valor estimado: R$
134.969, 95. Data final para recebimento das propostas: 20/01/2015, às 08h30min. Início da sessão de
disputa: 20/01/2015, às 10h. O edital e seus anexos poderão ser encontrados no portal www.licitacoes-e.
com.br, ID: 571267, a partir do dia 06/01/2015. Informações: (61) 3213-7130, pregao@caesb.df.gov.br.
Brasília/DF, 02 de janeiro de 2015.
Pregoeiro: SILVIO SANTOS GONÇALVES SOARES

AVISO DE PRORROGAÇÃO DE LICITAÇÃO
A Caesb torna público que o Pregão eletrônico PE-002/2015, processo nº 092.008237/2014, tipo de licitação: menor preço, Registro de preços para aquisição de materiais de limpeza, conforme
quantidades e especificações técnicas constantes no Edital e nos anexos. Valor estimado:",92008237.0,2014.0,AQUISIÇÃO (OUTROS),Unlabeled
4,-22.99527,-18.505705,4354,NÃO,67,2014,BRB,Banco de Brasília S/A,2015-01-07,6.0,2015.0,2015-01-21 00:00:00,PREG?O ELETR?NICO,238666.67,,14.0,DIAS,SERVIÇOS DE AUDITORIA,"AVISO DE PREGÃO ELETRÔNICO Nº 067/2014
O BRB - BANCO DE BRASÍLIA S.A. torna público a data de realização do Pregão Eletrônico
nº 067/2014. Data, horário e endereço eletrônico para abertura: 21/01/2015, às 10h,
www.comprasnet.gov.br. Objeto: Contratação de serviços de auditoria independente sobre
demonstrações contábeis e financeiras de Fundos de Investimentos, administrados pela BRB
? Distribuidora de Títulos e Valores Mobiliários S.A., relativamente ao exercício de 2015 ,
conforme condições e especificações constantes do Edital e seus Anexos. Valor estimado:R$
238.666,67 (duzentos e trinta e oito mil, seiscentos e sessenta e seis reais, sessenta e sete
centavos). Local de obtenção do edital: www.comprasnet.gov.br. Uasg: 925008. Processo
nº 613/2014. Jean Felippe Mazépas, Pregoeiro",,,SERVIÇOS (OUTROS),Unlabeled
5,-6.74595,-29.936077,4355,NÃO,73,2014,CBMDF,Corpo de Bombeiros Militar do Distrito Federal,2015-01-07,6.0,2015.0,2015-01-19 00:00:00,PREG?O ELETR?NICO,219841.4,,12.0,DIAS,ÓLEOS LUBRIFICANTES PARA O CBMDF,"AVISO DE LICITAÇÃO ? ABERTURA
PREGÃO ELETRÔNICO Nº 73/2014.
Processo: 053.002.615/2014/CBMDF. TIPO: Menor preço. OBJETO: Registro de preços para
eventual aquisição de óleos lubrificantes para o CBMDF, conforme Edital e anexos. VALOR
MÁXIMO DA CONTRATAÇÃO: R$ 219.841,40. O DICOA informa a ABERTURA da licitação
para o dia 19/01/2015 às 13:30h. LOCAL: site: www.comprasgovernamentais.gov.br. RETIRADA
DO EDITAL pela internet, nos sites www.cbm.df.gov.br e www. comprasgovernamentais.
gov.br. UASG: 170394. Inf.: (61) 3901-3481. Jorge Martins Rodrigues de Oliveira ? Diretor.
JORGE MARTINS RODRIGUES DE OLIVEIRA
Diretor de Contratações.",53002615.0,2014.0,AQUISIÇÃO (OUTROS),Unlabeled
6,-6.523356400000001,-29.874553999999996,4356,NÃO,2,2014,CBMDF,Corpo de Bombeiros Militar do Distrito Federal,2015-01-07,6.0,2015.0,2015-02-10 00:00:00,CONCORRÊNCIA,39261.6,,31.0,DIAS,CONCESSÃO DE USO DE ÁREA PÚBLICA,"CONCORRÊNCIA PÚBLICA Nº 02/2014.
Processo: 053. 001.452/2014/CBMDF. TIPO: Maior lance. OBJETO: Concessão de uso de
área pública em unidades do CBMDF (COSEA, ABMIL e POMED), conforme exigências
constantes no Edital e seus respectivos anexos. VALOR MÍNIMO ANUAL A SER ARRECADADO:
R$ 39.261,60. O DICOA informa a NOVA ABERTURA da licitação, para o
dia 10/02/2015 às 14:00h. LOCAL: Sala de Licitações do CBMDF, sito ao SAM Quadra B
bloco D, Brasília ? DF, Brasil, CEP 70.620-000. RETIRADA DO EDITAL pela internet no
site www.cbm.df.gov.br. Inf.: (61) 3901-3481.
JORGE MARTINS RODRIGUES DE OLIVEIRA
Diretor de Contratações.
DEPARTAMENTO DE SEGURANÇA CONTRA",53001452.0,2014.0,AQUISIÇÃO (OUTROS),Unlabeled
7,2.9980245,25.361176999999998,4357,NÃO,1,2015,PCDF,Polícia Civil do Distrito Federal,2015-01-07,6.0,2015.0,2015-02-02 00:00:00,PREG?O ELETR?NICO,30248.37,,13.0,DIAS,APARELHOS TELEVISORES E SUPORTES PARA FIXAÇÃO,"POLÍCIA CIVIL DO DISTRITO FEDERAL
COMISSÃO PERMANENTE DE LICITAÇÃO
AVISO DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 01/2015.
Processo: 052.001.551/2014. OBJETO: Aquisição de aparelhos televisores e suportes para fixação para atender as diversas unidades da Polícia Civil do Distrito Federal, conforme especificações e condições estabelecidas no termo de referência constante do Anexo I do Edital. TIPO: Menor Preço. Valor estimado da licitação: R$ 33.100,49 (trinta e três mil, cem reais e quarenta e nove  centavos). Natureza de Despesa 44.90.52. Fonte 100. Programa de Trabalho 28.845.0903.00NR.0053. Unidade Orçamentária: 73.901. Prazo de entrega: 30 dias. Data limite do recebimento das propostas: 20 de janeiro de 2015, às 14h. O Edital, com todos seus anexos, deverá ser obtido no site www.comprasgovernamentais.gov.br ou www.pcdf.df.gov.br ou ainda na Comissão Permanente de Licitação, localizada no SPO, Conjunto A, Lote 23, Edifício da Direção Geral, 3º Andar, Complexo da PCDF, Brasília-DF, nos dias úteis, no horário:",,,AQUISIÇÃO (OUTROS),Unlabeled
8,8.455606,-30.489996,4359,NÃO,5,2015,TCDF,Tribunal de Contas do Distrito Federal,2015-01-07,6.0,2015.0,2015-01-20 00:00:00,PREG?O ELETR?NICO,104500.0,,13.0,DIAS,MATERIAIS BIBLIOGRÁFICOS PARA O ANO DE 2015,"AVISOS DE LICITAÇÃO
PREGÃO ELETRÔNICO Nº 5/2015
Objeto: Contratação de empresa especializada para fornecimento de materiais bibliográficos para o
ano de 2015. Processo: 23391/2014 ? TCDF. Valor estimado: R$ 104.500,00; com o seguinte enquadramento
natureza: 44.90.52.18 ? Equipamentos e Material Permanente, classificação funcional e
programática: 01.122.6005.8517.0019 ? Manutenção de Serviços Administrativos Gerais ? Tribunal
de Contas do Distrito Federal, fonte de Recursos: 100. Data limite de recebimento das propostas:
20/01/2015, às 14h30min. Cópia do Edital encontra-se à disposição no Serviço de Licitação, no
2º andar do Ed. Anexo do TCDF, fone (61) 3314-2742 ou pelos sites: www.tc.df.gov.br e www.
comprasnet.gov.br. A Sessão Pública será processada no sítio do ComprasNet, nos termos do Edital.
Brasília/DF, 5 de janeiro de 2015.
ALESSANDRA RIBEIRO ASTUTI
Pregoeira",,,AQUISIÇÃO (OUTROS),Unlabeled
9,7.988134,-30.772234,4360,NÃO,6,2015,TCDF,Tribunal de Contas do Distrito Federal,2015-01-07,6.0,2015.0,,PREG?O ELETR?NICO,10000.0,,,DIAS,MANUTENÇÃO PREVENTIVA,"PREGÃO ELETRÔNICO Nº 6/2015
Objeto: Contratação de empresa especializada para a prestação de serviços de manutenção
preventiva, corretiva e emergencial para dois elevadores, marca Basic, instalados no Edifício
Anexo do Tribunal de Contas do Distrito Federal - TCDF, incluindo mão de obra e fornecimento
de peças originais. Processo: 27966/2014 ? TCDF. Valor estimado: R$ 10.000,00; com o seguinte
enquadramento natureza: 33.90.39.16 ? Outros Serviços de Terceiros ? Pessoa Jurídica,
classificação funcional e programática: 01.122.6005.8517.0019 ? Manutenção de Serviços
Administrativos Gerais ? Tribunal de Contas do Distrito Federal, fonte de Recursos: 100. Data
limite de recebimento das propostas: 22/01/2015, às 14h30min. Cópia do Edital encontra-se à
disposição no Serviço de Licitação, no 2º andar do Ed. Anexo do TCDF, fone (61) 3314-2742
ou pelos sites: www.tc.df.gov.br e www.comprasnet.gov.br. A Sessão Pública será processada
no sítio do ComprasNet, nos termos do Edital.
Brasília/DF, 5 de janeiro de",,,SERVIÇOS DE MANUTENÇÃO (MÁQ/EQUIPAMENTOS),Unlabeled
