,x,y,idEditais,autuado,nrEdital,anoEdital,siglaLicitante,nomeLicitante,dtPublicacao,nrDodf,anoDodf,dtAbertura,modalidadeLicitacao,vrEstimado,prazo,prazoAbertura,tpPrazo,ementaObj,descObjeto,nrgdf,anogdf,classifObjeto,label
0,-8.050389,-9.362516000000001,6,NÃO,11,2013,SEE,Secretaria de Estado de Educação,2013-04-01,66.0,,2013-04-11 00:00:00,PREG?O ELETR?NICO,13292.9,12.0,7.0,MESES,FORNECIMENTO SOFTWARES,Contratação de empresa especializada no fornecimento de licenciamento de softwares aplicativos,,,LOCAÇÃO DE EQUIPAMENTOS DE TI / SOFTWARE,Unlabeled
1,-7.781169,-9.587605,36,NÃO,64,2013,SEE,Secretaria de Estado de Educação,2013-04-03,68.0,,2013-04-15 00:00:00,PREG?O ELETR?NICO,172700.0,12.0,8.0,MESES,AQUISIÇÃO DE MAARCA-PASSO EXTERNO,Aquisição de MAarca-Passo Externo.,,,AQUISIÇÃO (OUTROS),Unlabeled
2,-3.0462658,-14.752367999999999,330,SIM,32,2012,NOVACAP,Companhia Urbanizadora da Nova Capital do Brasil,2012-12-28,263.0,2012.0,2013-02-04 00:00:00,CONCORRÊNCIA,18000000.0,,,DIAS,MANUTENÇÃO QUADRAS ESPORTIVAS,"Concorrência nº 32/2012 ? ASCAL/PRES,que tem por objeto a manutenção dos equipamentos públicos em quadras esportivas, cujo aviso consta publicado no DODF nº 263, de 28.12.2012, pág.42/43",,,SERVIÇOS DE CONSERVAÇÃO (MAO DE OBRA),Unlabeled
3,-2.3959758,-14.920509,334,SIM,100,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-03,67.0,2012.0,2012-04-20 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),11858873.75,12.0,17.0,MESES,GÊNEROS ALIMENTÍCIOS,"AVISOS DE LICITAÇÔES
PREGÃO ELETRÔNICO Nº 100/2012.
Objeto: Registro de Preços para aquisição de gêneros de alimentação (ovo, alho, fruta, legume, verdura),
conforme especificações e condições estabelecidas no termo de referência constante do Anexo
I do Edital. Data e horário para recebimento das propostas: 9h do dia 20 de abril 2012, processo
411.000.069/2011. O respectivo edital poderá ser retirado exclusivamente no endereço eletrônico:
www.compras.df.gov.brhttp://www.compras.df.gov.br/. Informações pelo telefone 0xx(61) 3312.5275.
Brasília/DF, 02 de abril de 2012.
AUGUSTO CESAR PIRES ARANHA
Pregoeiro",,,AQUISIÇÃO (OUTROS),Unlabeled
4,-2.3515042999999998,-14.913628,335,SIM,128,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-03,67.0,2012.0,2012-04-16 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),8808286.39,,13.0,DIAS,MATERIAL PARA REFEITÓRIOS,"PREGÃO ELETRÔNICO Nº 128/2012.
Objeto: Registro de Preços de material para refeitórios (fogão industrial a gás, mesa para refeitório,
pass-through aquecido e bebedouro elétrico), conforme especificações e condições estabelecidas
no termo de referência constante do Anexo I do Edital. Data e horário para recebimento das
propostas: até 9h do dia 16 de abril de 2012, processo 411.000.084/2011. O respectivo edital
poderá ser retirado exclusivamente no endereço eletrônico: www.compras.df.gov.brhttp://www.
compras.df.gov.br/. Informações referentes ao cadastro ou ao site através do telefone 3312.5325.
Brasília/DF, 2 de abril de 2012.
EDMAR FIRMINO LIMA
Pregoeiro",,,AQUISIÇÃO (OUTROS),Unlabeled
5,-2.482784,-14.741349,336,SIM,154,2011,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-03,67.0,2012.0,2012-04-20 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),3466000.37,,17.0,DIAS,PROTEÇÃO DO PROFISSIONAL E HIGIENE DO PACIENTE,"PREGÃO ELETRÔNICO Nº 154/2011.
Objeto: Registro de Preços de material médico hospitalar de proteção do profissional e higiene
do paciente (absorvente higiênico hospitalar, aparelho para tricotomia, escova/esponja para
degermação das mãos, fralda descartável, haste flexível com ponta de algodão, lâmina para
tricotomia, ácidos graxos essenciais + triglicerídeos e pulseira identificação paciente), conforme
especificações constantes do anexo I do edital. Data e horário para recebimento das propostas: até
9h do dia 20 de abril de 2012. Processo 411.000.232/2010 - SULIC. O edital poderá ser retirado
exclusivamente no endereço eletrônico www.compras.df.gov.brhttp://www.compras.df.gov.br/.
Informações referentes ao cadastro ou ao site através do telefone 3312.5325/3312.5329.
Brasília/DF, 2 de abril de 2012.
JANILDO NUNES DA MOTA
Pregoeiro",,,AQUISIÇÃO DE MEDICAMENTOS E PRODUTOS HOSPITALARES,Unlabeled
6,-2.3910756,-14.865638,337,SIM,121,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-04,68.0,2012.0,2012-04-18 00:00:00,PREG?O ELETR?NICO,13235559.06,,14.0,DIAS,"LOCAÇÃO DE VEÍCULOS AUTOMOTORES,SEM MOTORISTA","PREGÃO ELETRÔNICO Nº 121/2012.
Objeto: Contratação de pessoa jurídica especializada no ramo de serviços de locação de
veículos automotores, sem motorista, sem fornecimento de combustível, com seguro total
sem franquia, conforme especificações e condições estabelecidas no termo de referência
constante do Anexo I do Edital, para atender a Secretaria de Estado de Planejamento e
Orçamento - SEPLAN. Data e horário para recebimento das propostas: até 09:00 horas do
dia 18 de abril de 2012, processos n.º(s): 410.001.109/2011. O respectivo edital poderá
ser retirado exclusivamente no endereço eletrônico: www.compras.df.gov.br Informações
referentes ao cadastro ou ao site através do telefone 61 3312.5325.
Brasília/DF, 3 de abril de 2012.
EDMAR FIRMINO LIMA
Pregodeiro",,,SERVIÇOS (OUTROS),Unlabeled
7,-2.4670240000000003,-14.848348000000001,338,SIM,145,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-24,81.0,2012.0,2012-05-10 00:00:00,PREG?O ELETR?NICO,5460754.6,,16.0,DIAS,"CAMINHÃO BÁU MÉDIO,CAMINHONETE PICK-UP E VAN","PREGÃO ELETRÔNICO Nº 145/2012.
Objeto: Aquisição de veículos (caminhão baú médio, caminhonete pick-up e van), conforme
especificações e condições constantes do termo de referência anexo I do edital. Data e horário
para recebimento das propostas: até 09h00min do dia 10 de maio de 2012, processo n.º
410.001.110/2011 - SEPLAN. O edital poderá ser retirado exclusivamente no endereço eletrônico www.compras.df.gov.br; http://www.compras.df.gov.br/. Informações referentes ao cadastro ou
ao site através do telefone 3312.5325/3312.5329.
Brasília/DF, 23 de abril de 2012.
JANILDO NUNES DA MOTA
Pregoeiro",,,AQUISIÇÃO DE VEÍCULOS,Unlabeled
8,-2.500085,-14.818579000000001,340,SIM,177,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-04-24,81.0,2012.0,2012-05-29 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),9456920.53,,35.0,DIAS,MATERIAL E OU EQUIPAMENTO MÉDICO-HOSPITALAR,"PREGÃO ELETRÔNICO Nº 177/2012.
Objeto: aquisição de material e ou equipamento médico-hospitalar (lençol descartável, mascara
em falso tecido, jaleco descartável, sapatilha descartável, avental descartável, conj. de calça e
jaleco descartável, gorro descartável, turbante cirúrgico, etc.) para Registro de Preços, conforme
especificação e condições constantes do Anexo I do edital. Data e horário para recebimento das
propostas: 08h30min do dia 29 de maio de 2012, processo nº. 411.000.056/2011-SULIC. O respectivo
edital poderá ser retirado exclusivamente no endereço eletrônico: www.compras.df.gov.
br. Informações referentes ao cadastro ou ao site, através do telefone 0xx(61) 3312.5325/5329.
Brasília/DF, 15 de maio de 2012.
ISABEL CRISTINA OSÓRIO CALDAS
Pregoeira",,,AQUISIÇÃO DE MEDICAMENTOS E PRODUTOS HOSPITALARES,Unlabeled
9,-2.4373245,-14.891911499999999,341,SIM,235,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-05-22,99.0,2012.0,2012-06-01 00:00:00,PREG?O ELETR?NICO,5035219.24,,10.0,DIAS,"EDITORAÇÃO,DIAGRAMAÇÃO E IMPRESÃO DO DODF","PREGÃO ELETRÔNICO Nº 235/2012.
Objeto: Contratação de empresa especializada para realizar serviços gráficos de editoração,
diagramação e impressão do Diário Oficial do Distrito Federal, conforme especificações
e condições constantes do Anexo I do Edital. Data e horário para recebimento
das propostas até as 09h00min do dia 01/06/2012, processo nº: 360.000.296/2012. O
respectivo edital poderá ser retirado exclusivamente no endereço eletrônico: www.
compras.df.gov.brhttp://www.compras.df.gov.br/. Informações referentes ao cadastro
ou ao site, pelo telefone 0xx(61) 3312.5325.
Brasília/DF, 21 de maio de 2012.
CLEONICE NERI DOS SANTOS
Pregoeira",,,SERVIÇOS (OUTROS),Unlabeled
10,-8.065689,6.100574,342,SIM,4,2012,ADASA,Agência Reguladora de Águas e Saneamento do Distrito Federal,2012-12-21,259.0,2012.0,2012-02-07 00:00:00,CONCORRÊNCIA,2982473.6,,47.0,DIAS,BRASÍLIA SUSTENTÁVEL 2,"AVISO DE LICITAÇÃO
CONCORRÊNCIA Nº 4/2012.
A AGÊNCIA REGULADORA DE ÁGUAS, ENERGIA E SANEAMENTO BÁSICO DO DISTRITO
FEDERAL, por meio da Comissão Permanente de Licitação, torna público, que realizará
licitação na Modalidade Concorrência ? Tipo Técnica e Preço, tendo como objeto a contratação de
serviços especializados de engenharia, estudos socioambientais, estudos econômico-financeiros,
avaliação e monitoramento de projetos, com a finalidade de preparar o Programa de Financiamento
com o Banco Interamericano de Desenvolvimento, Brasília Sustentável 2, conforme condições
e especificações constantes do ANEXO I ? PROJETO BÁSICO do edital., em sessão a ser realizada
no dia 07 de fevereiro de 2013, às 9h30m, na Sala de Reuniões da ADASA, localizada
no Setor Ferroviário ? Parque Ferroviário de Brasília ? Estação Rodoferroviária, Sobreloja Ala
Norte ? Brasília - DF. O Edital e seus anexos poderão ser obtidos no Protocolo da ADASA, no
endereço acima, ou no sítio www.adasa.df.gov.br, (Licitação ? Concorrênci",,,SERVIÇOS DE ENGENHARIA (OUTROS),Unlabeled
11,-2.4230652000000004,-14.889048999999998,343,SIM,210,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-06-13,113.0,2012.0,2012-06-26 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),5769525.22,,13.0,DIAS,MATERIAL PARA CONSTRUÇÃO,"AVISOS DE LICITAÇÕES
PREGÃO ELETRÔNICO Nº 210/2012.
Objeto: Registro de Preços de material para construção (cabo ferramenta, areia, argamassa,
cal virgem, cola, pedrisco, pó de pedra, rejunte, saibro, concreto usinado, meio fio, tampão),
conforme especificações e condições constantes do termo de referência anexo I do edital. Data
e horário para recebimento das propostas: até 09h00min do dia 26 de junho de 2012, referente
ao processo 411.000.008/2012-SULIC. O edital poderá ser retirado exclusivamente no endereço
eletrônico www.compras.df.gov.br; http://www.compras.df.gov.br/. Informações referentes ao
cadastro ou ao site através do telefone 3312.5325/3312.5329.
Brasília/DF, 12 de junho de 2012.
JANILDO NUNES DA MOTA
Pregoeiro",,,AQUISIÇÃO (OUTROS),Unlabeled
12,-2.3886902,-14.898701,345,SIM,249,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-06-21,120.0,2012.0,2012-07-05 00:00:00,REGISTRO DE PREÇOS (PREGÃO ELETRÔNICO),22095393.93,,14.0,DIAS,MATERIAL DE CONSUMO,"PREGÃO ELETRÔNICO Nº 249/2012.
O presente pregão tem por objeto O Registro de Preços de material de consumo (areia, brita,
argamassa, cimento, tijolo, telha e outros), conforme especificação e condições constantes do
Anexo I do edital. Data e horário para recebimento das propostas: 8h30 do dia 05 de julho de
2012, processos 411.000.076/2011-SULIC. O respectivo edital poderá ser retirado exclusivamente
no endereço eletrônico: www.compras.df.gov.br. Informações referentes ao cadastro ou ao site,
através do telefone 0xx(61) 3312.5325/5329.
Brasília/DF, 20 de junho de 2012.
ISABEL CRISTINA OSÓRIO CALDAS
Pregoeira",,,AQUISIÇÃO (OUTROS),Unlabeled
13,-3.0741959,-14.921091,348,SIM,67,2012,BRB,Banco de Brasília S/A,2012-10-29,219.0,2012.0,2012-11-12 00:00:00,PREG?O ELETR?NICO,4582000.0,,14.0,DIAS,"SERVIDORES TIPOS I, II E III","AVISO DE PREGÃO ELETRÔNICO Nº: 067/2012
O BRB Banco de Brasília S/A torna público a data de realização do Pregão Eletrônico nº:
067/2012. Data, horário e endereço eletrônico para abertura: 12/11/2012, às 9:00h, www.comprasnet.
gov.br. Objeto: Registro de Preços para eventuais aquisições de Servidores tipos I, II e
III, incluindo os serviços de instalação, ativação e garantia (manutenção e suporte técnico) pelo
prazo de 36 meses, conforme especificações constantes do Edital e seus Anexos. Valor estimado:
R$ 4.582.000,00 (quatro milhões, quinhentos e oitenta e dois mil reais). Local de obtenção do
Edital: www.comprasnet.gov.br. Processo 421/2012.
ERIEL STRIEDER
Pregoeiro",,,AQUISIÇÃO DE EQUIPAMENTOS TI / SOFTWARE,Unlabeled
14,-2.8002326,-14.477397,349,SIM,11,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-06-27,124.0,2012.0,2012-07-12 00:00:00,PREGÃO PRESENCIAL,6454689.08,12.0,15.0,MESES,MANUTENÇÃO FROTA OPERACIONAL PMDF (NA GARANTIA),"AVISOS DE LICITAÇÕES
PREGÃO PRESENCIAL Nº 11/2012.
Objeto: Contratação de empresa especializada para realização de serviços de manutenção
preventiva e/ou corretiva, de forma continuada, em veículos pertencentes à frota operacional
da PMDF que se encontram fora do período de garantia, com aplicação de peças e acessórios
de qualidade igual e/ou superior às originais, conforme especificações e condições
estabelecidas no termo de referência constante do Anexo I do Edital. Abertura: dia 12 de
julho 2012 às 09h00min. O respectivo edital poderá ser retirado pelo endereço eletrônico:
www.compras.df.gov.br/editais/editais externos ao e-compras ou na Seção de Protocolo da
Subsecretaria de Licitações e Compras situado no Setor Bancário Sul, Quadra 02, Bloco
?L?, Térreo, Edifício Lino Martins Pinto ? Brasília/DF, das 08 às 12 horas e das 14 às 18
horas, mediante a apresentação do comprovante de recolhimento pago em qualquer agência
bancária, através de DAR, código 357-3, no valor de R$ 7,00 (sete reais). As e",,,SERVIÇOS DE MANUTENÇÃO (VEÍCULOS),Unlabeled
15,-3.0724282000000005,-14.889434,350,SIM,53,2012,BRB,Banco de Brasília S/A,2012-07-30,150.0,2012.0,2012-08-14 00:00:00,PREG?O ELETR?NICO,9600000.0,36.0,16.0,MESES,ESTAÇÕES DE CAIXA E DEMAIS PERIFÉRICOS,"AVISO DE LICITAÇÃO
O BANCO DE BRASÍLIA S/A torna público a data de realização do Pregão Eletrônico nº
53/2012. Data, horário e endereço eletrônico para abertura: 14/08/2012, às 15:00h, www.
comprasnet.gov.br. Objeto: Registro de Preços para futuras aquisições de Estações de Caixa
e demais periféricos, incluindo os serviços de instalação, ativação e garantia de 36 meses,
conforme condições e especificações constantes deste Edital e seus Anexos. Valor estimado:
R$ 9.600.000,00 (nove milhões e seiscentos mil reais). Local de obtenção do edital: www.
comprasnet.gov.br. Processo: 351/2012.
ERIEL STRIEDER
Pregoeiro",,,AQUISIÇÃO (OUTROS),Unlabeled
16,-3.1128763999999998,-14.864618,351,NÃO,34,2012,BRB,Banco de Brasília S/A,2012-06-13,113.0,2012.0,2012-06-29 00:00:00,PREG?O ELETR?NICO,6825000.0,,16.0,DIAS,SERVIÇOS ESPECIALIZADOS DE PLANEJAMENTO DE TESTES,"AVISO DE PREGÃO ELETRÔNICO Nº 034/2012.
O BRB - BANCO DE BRASÍLIA S/A torna público a data de realização do Pregão Eletrônico
nº 034/2012. Data, horário e endereço eletrônico para abertura: 29/06/2012, às 9h,
www.comprasnet.gov.br. Objeto: prestação dos serviços especializados de planejamento de
testes de sistemas, execução e evidenciação de testes, sobre uma entrega parcial, execução
e evidenciação de teste de aceite de um serviço de desenvolvimento e/ou manutenção de
software, documentação dos resultados de teste, auditoria de código-fonte e verificação
dos sistemas desenvolvidos ou adquiridos pelo BRB, conforme especificações constantes
no Edital e Anexos. Valor estimado: R$ 6.825.000,00 (seis milhões e oitocentos e vinte e
cinco mil reais). Local de obtenção do Edital: www.comprasnet.gov.br. Processo 061/2012.
ERIEL STRIEDER
Pregoeiro",,,SERVIÇOS (OUTROS),Unlabeled
17,-3.122801,-14.827834,352,SIM,3420,2012,BRB,Banco de Brasília S/A,2012-06-13,113.0,2012.0,2013-05-29 00:00:00,PREG?O ELETR?NICO,6825000.0,,16.0,DIAS,SERVIÇOS ESPECIALIZADOS DE PLANEJAMENTO DE TESTES,"AVISO DE PREGÃO ELETRÔNICO Nº 034/2012.
O BRB - BANCO DE BRASÍLIA S/A torna público a data de realização do Pregão Eletrônico
nº 034/2012. Data, horário e endereço eletrônico para abertura: 29/06/2012, às 9h,
www.comprasnet.gov.br. Objeto: prestação dos serviços especializados de planejamento de
testes de sistemas, execução e evidenciação de testes, sobre uma entrega parcial, execução
e evidenciação de teste de aceite de um serviço de desenvolvimento e/ou manutenção de
software, documentação dos resultados de teste, auditoria de código-fonte e verificação
dos sistemas desenvolvidos ou adquiridos pelo BRB, conforme especificações constantes
no Edital e Anexos. Valor estimado: R$ 6.825.000,00 (seis milhões e oitocentos e vinte e
cinco mil reais). Local de obtenção do Edital: www.comprasnet.gov.br. Processo 061/2012.
ERIEL STRIEDER
Pregoeiro",,,SERVIÇOS (OUTROS),Unlabeled
18,-3.0909655,-14.665683,353,SIM,12,2012,BRB,Banco de Brasília S/A,2012-06-12,112.0,2012.0,2013-05-06 00:00:00,PREG?O ELETR?NICO,70278000.0,,23.0,DIAS,SISTEMA MULTICANAL PARA TRATAMENTO DE TRANSAÇÕES F,"GERÊNCIA DE LICITAÇÕES
AVISO DE PREGÃO ELETRÔNICO Nº 12/2012.
O BRB - BANCO DE BRASÍLIA S/A., Torna Público a data de realização do Pregão Eletrônico
nº: 012/2012. Data, horário e endereço eletrônico para abertura: 06/07/2012, às 09h00, www.
comprasnet.gov.br. Objeto: contratação de empresa para fornecimento de Sistema Multicanal
para tratamento de transações financeiras, abrangendo desde o CEN ? centralizador e autorizador
até os canais de Internet Banking (Portal de Serviços Bancários) e Telebanco, Caixa (agência e
correspondente), Atendimento/retaguarda, Mobile Banking, Mobile Payment e Mobile Smart
Message, doravante denominada Multicanal ou Solução de Automação Bancária, contemplando
desenvolvimento, implantação, documentação, suporte, treinamento e transferência de tecnologia,
inclusive a entrega de todos artefatos do projeto (código fonte, manuais, framework, diagramas,
especificações, scripts e outros artefatos necessários à transferência de tecnologia), conforme
especificações constantes",,,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,Unlabeled
19,-3.1181207000000004,-14.910426000000001,354,SIM,46,2012,BRB,Banco de Brasília S/A,2012-05-28,103.0,2012.0,2012-06-13 00:00:00,PREG?O ELETR?NICO,7200000.0,,16.0,DIAS,SERVIÇOS DE APOIO ADMINISTRATIVO,"AVISO DE PREGÃO ELETRÔNICO Nº 46/2012.
O BANCO DE BRASÍLIA S/A torna público a data de realização do Pregão Eletrônico nº
46/2012. Data, horário e endereço eletrônico para abertura: 13/06/2012, às 10:00h, www.comprasnet.
gov.br. Objeto: prestação de serviços de apoio administrativo; copa, com fornecimento
de produtos alimentícios e materiais de limpeza; manutenção; limpeza e conservação, com
fornecimento de materiais de limpeza e equipamentos, nas dependências da Direção Geral,
localizadas no Distrito Federal, conforme especificações constantes no Edital e Anexos. Valor
estimado: R$7.200.000,00 (sete milhões e duzentos mil reais). Local de obtenção do Edital:
www.comprasnet.gov.br. Processo nº 274/2012.
MARCELO VARELA
Pregoeiro",,,SERVIÇOS (OUTROS),Unlabeled
20,-2.5190867999999997,-14.831552499999999,355,SIM,236,2012,SEPLAN,Sec. de Estado de Planejamento e Orçamento,2012-06-27,124.0,2012.0,2012-07-11 00:00:00,PREG?O ELETR?NICO,4568269.41,12.0,14.0,MESES,ACESSO À INTERNET EM BANCA LARGA,"PREGÃO ELETRÔNICO Nº 236/2012
Objeto: Contratação de empresa especializada para prestação de serviços de comunicações,
sendo um lote de Serviço Telefônico fixo Comutado - (STFC), e outro lote de prestação
de serviço de acesso à internet em banda larga via tecnologia ADSL para atender as
unidades da Secretaria de Estado da Criança do Distrito Federal, conforme especificações
e condições constantes do Anexo I do Edital. Data e horário para recebimento das
propostas até as 09h00min do dia 11 de julho de 2012, processo nº: 417.000.573/2012.
O respectivo edital poderá ser retirado exclusivamente no endereço eletrônico: www.
compras.df.gov.brhttp://www.compras.df.gov.br/. Informações referentes ao cadastro
ou ao site, pelo telefone 0xx(61) 3312.5325
Brasília/DF, 26 de junho de 2012.
CLEONICE NERI DOS SANTOS
Pregoeira",,,SERVIÇOS (OUTROS),Unlabeled
