id_geral,id_ato,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,texto,estado_ent,x_tsne,y_tsne,x_umap,y_umap
35178288201411312068,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,simbolo,12068,DODFMiner,DFA-14,nao_confirmado,-30.146948,-2.0264118,-33.78459167480469,10.508940696716309
35178288201411313416,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,orgao,13416,DODFMiner,Governadoria do Distrito Federal,nao_confirmado,18.063608,8.451751,-34.00992965698242,11.164501190185547
35178288201411313413,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,nome,13413,DODFMiner, JESSIKA KAORY GERMINIO KAUASHIMA,nao_confirmado,5.155463,-0.2251143,-29.862030029296875,4.079380989074707
35178288201411312034,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,hierarquia_lotacao,12034,DODFMiner,"Assessoria, da Coordenadoria de Assuntos Juridicos, da Casa 
Civil",nao_confirmado,5.6583257,0.7398205,-31.515613555908203,10.037367820739746
35178288201411321057,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,cargo_comissionado,21057,lygia_paloma,Assessor,nao_confirmado,27.669373,-6.431844,-30.611148834228516,15.023795127868652
35178288201411321071,35_178.28.8.2014R113,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R113,lygia_paloma,Ato_Nomeacao_Comissionado,21071,lygia_paloma,"NOMEAR JESSIKA KAORY GERMINIO KAUASHIMA para exercer o Cargo em Comissao, 
Simbolo DFA-14, de Assessor, da Assessoria, da Coordenadoria de Assuntos Juridicos, da Casa 
Civil, da Governadoria do Distrito Federal.",nao_confirmado,5.562695,0.21677698,-32.62293243408203,10.410690307617188
35178288201434212044,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,orgao,12044,DODFMiner,Governadoria do Distrito Federal,nao_confirmado,18.063816,8.451585,-34.076080322265625,10.954399108886719
35178288201434221058,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,simbolo,21058,lygia_paloma,DFA-05,nao_confirmado,-12.421317,-24.437378,-32.29801559448242,12.680097579956055
35178288201434212036,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,nome,12036,DODFMiner, LUIZ RODRIGUES DA SILVA,nao_confirmado,-4.8851748,6.90273,-30.921960830688477,8.313244819641113
35178288201434212037,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,cargo_efetivo,12037,DODFMiner,"Tecnico em Politicas Publicas e Gestao Governamen-
tal",nao_confirmado,24.39369,0.5256593,-32.55416488647461,16.072662353515625
35178288201434212038,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,matricula,12038,DODFMiner,78.313-7,nao_confirmado,-8.1194515,-11.218859,-29.750627517700195,3.8813529014587402
35178288201434213414,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,cargo_comissionado,13414,DODFMiner, Encarregado,nao_confirmado,-28.540949,4.8095636,-27.834453582763672,6.528657913208008
35178288201434222094,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,hierarquia_lotacao,22094,lygia_paloma,"Gabinete, da Administracao Regional do Nucleo Bandeirante, da Coordenadoria das Cidades, 
da Casa Civil",nao_confirmado,8.026181,-0.46181962,-30.13825798034668,10.426483154296875
35178288201434222095,35_178.28.8.2014R342,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R342,lygia_paloma,Ato_Nomeacao_Comissionado,22095,lygia_paloma,"NOMEAR LUIZ RODRIGUES DA SILVA, Tecnico em Politicas Publicas e Gestao Governamen-
tal, matricula 78.313-7, para exercer o Cargo em Comissao, Simbolo DFA-05, de Encarregado, 
do Gabinete, da Administracao Regional do Nucleo Bandeirante, da Coordenadoria das Cidades, 
da Casa Civil, da Governadoria do Distrito Federal.",nao_confirmado,6.9970665,-0.46972612,-31.41131591796875,10.458131790161133
35178288201411512073,35_178.28.8.2014R115,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R115,lygia_paloma,simbolo,12073,DODFMiner,DFA-08,nao_confirmado,-13.458034,-20.467384,-29.669235229492188,7.265288352966309
35178288201411513000,35_178.28.8.2014R115,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R115,lygia_paloma,nome,13000,DODFMiner, WILLIAM DE SOUZA JOTA,nao_confirmado,-9.338197,2.1725545,-31.45482063293457,9.074259757995605
35178288201411512043,35_178.28.8.2014R115,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R115,lygia_paloma,hierarquia_lotacao,12043,DODFMiner,"Gerencia Regional de Condominios da Administracao Regional da Ceilandia, 
da Coordenadoria das Cidades, da Casa Civil",nao_confirmado,9.066297,-0.8353111,-29.2030086517334,10.37523365020752
35178288201411521074,35_178.28.8.2014R115,35_178.28.8.2014,Ato_Nomeacao_Comissionado,R115,lygia_paloma,orgao,21074,lygia_paloma,Governadoria do Distrito Federal,nao_confirmado,18.063791,8.451554,-34.19887161254883,11.06850528717041
