label,text,is_valid
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,"O DIRETOR-GERAL DO DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL, no uso da
atribuição prevista no art. 3º, do Decreto nº 39.002, de 24 de abril de 2018, que regulamenta os arts. 44
e 45 da Lei Complementar nº 840, de 23 de dezembro de 2011, e conforme Processo SEI nº 00055-
00159377/2018-94, resolve: DESIGNAR JULIANA MARIA CARPI, Agente de Trânsito, matrícula
250.511-8, para substituir NATT DOUGLAS CORREA, Agente de Trânsito, matrícula 1.452-4, corregedor,
símbolo CNE-06, da Corregedoria, do Detran/DF, nos períodos de 07 a 26/01/2019 e 01 a 10/07/2019, por
motivo de férias do titular.
FABRÍCIO LIMA DE ANDRADE MOURA",False
SECRETARIA DE ESTADO DE CULTURA,"PROCESSO: 00150-00010629/2018-72; NOTA DE EMPENHO Nº 01100/2018; DAS PARTES:
DF/SEC/FAC X SANTIAGO MACHADO DELLAPE. Na qualidade de Beneficiário/a. ESPÉCIE:
Termo de Ajuste Nº 706/2018; MODALIDADE: Seleção Pública; DO OBJETO: O presente Termo de
Ajuste tem por objeto a concessão de apoio financeiro pelo FUNDO DE APOIO À CULTURA ao
Programa Conexão Cultural DF# Negócios de interesse do/a Beneficiário/a acima especificado/a; DO
VALOR: R$ 15.000,00 (quinze mil reais) que será liberado em parcela única e transferidos à conta
do/a Beneficiário/a, correndo a despesa à conta de dotação orçamentária própria do Programa de
Trabalho 13.392.6219.2911.0001 - Realização de Ações Culturais - Conexão FAC - Fonte 100 -
Natureza da despesa: 33.90.48; DA VIGÊNCIA: O presente termo de ajuste entrará em vigência a
partir da data de assinatura do beneficiário, com duração de 8 (oito) meses, permitida a prorrogação
na forma da lei vigente; DATA DA ASSINATURA: 20/12/2018; LEGISLAÇÃO: Lei nº 934/2017,
Portaria nº 158, de 20 de setembro de 2016, alterada pela Portaria nº 106/2018; Pelo FAC/SEC/DF:
Luís Guilherme Almeida Reis; BENEFICIÁRIO/A: SANTIAGO MACHADO DELLAPE.",False
SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA,"O DIRETOR-GERAL DO DEPARTAMENTO DE TRÂNSITO DO DISTRITO FEDERAL, no uso da
atribuição prevista no art. 3º, do Decreto nº 39.002, de 24 de abril de 2018, que regulamenta os arts.
44 e 45 da Lei Complementar nº 840, de 23 de dezembro de 2011, e conforme Processo SEI nº
00055-00167490/2018-43, resolve: DESIGNAR JAKELINE LIMA DOS SANTOS, Assistente de
Trânsito, matrícula 250.443-X, para substituir ANA CLAUDIA DANTAS CONCEIÇÃO BRAGA,
Assistente de Trânsito, matrícula 1.124-X, chefe, símbolo DFG-12, do Núcleo de Registro e Expedição
de Documentos de Habilitação - NURED, da Gerência de Habilitação e Controle de Condutor -
Gerhab, da Diretoria de Controle de Veículos e Condutores - Dirconv, do Detran/DF, no período de
07 a 16/01/2019, por motivo de férias do titular.
FABRÍCIO LIMA DE ANDRADE MOURA",False
"SECRETARIA DE ESTADO DE FAZENDA, PLANEJAMENTO, ORÇAMENTO E GESTÃO","A Comissão Permanente de Licitação do BRB - BANCO DE BRASÍLIA S.A. torna público o
julgamento da Concorrência DIPES/CPLIC Nº 010/2018, referente à alienação de 72 (setenta e dois)
imóveis residenciais, comerciais e rurais, pertencentes ao BRB - Banco de Brasília S.A., situados no
Distrito Federal e nos estados de Goiás, Minas Gerais, Piauí e São Paulo. Item 2: Licitante Vencedora:
Eveline Martins Brito, Valor Ofertado: R$ 490.010,00 (quatrocentos e noventa mil e dez reais); Item 3:
Licitante Vencedora: Neusa Augusta Daniel da Silva, Valor Ofertado: R$ 361.100,00 (trezentos e sessenta
e um mil e cem reais); Item 5: Licitante Vencedor: Jackson Raone Benevides da Silva Ramalho, Valor
Ofertado: R$ 311.615,50 (trezentos e onze mil, seiscentos e quinze reais e cinquenta centavos); Item 17:
Licitante Vencedor: Bernardo Bressan dos Santos, Valor Ofertado: R$ 188.100,00 (cento e oitenta e oito
mil e cem reais); Item 23: Licitante Vencedora: Aline Queiroz da Silva Fernandes, Valor Ofertado:
R$221.000,00 (duzentos e vinte e um mil reais). Não foram apresentadas propostas para os demais itens.
Os autos do processo encontram-se com vista franqueada no horário de 10 às 16 horas, no SBS, Quadra
1, Bl. E, Ed. Brasília, 16º andar, Brasília/DF. Processo: 1092/2018. Jean Felippe Mazépas - Presidente da
CPLIC",False
CASA CIVIL,"A ADMINISTRADORA REGIONAL DE TAGUATINGA DO DISTRITO FEDERAL, no uso das atribuições
legais que lhe confere o inciso XXXVIII, do artigo 42, do Decreto n° 38.094, de 28 de março de 2017, que
aprova o Regimento Interno das Administrações Regionais do Distrito Federal e dá outras providências,
resolve:
Art. 1º Por força da Ordem de Serviço nº 211 de 13/12/2018, publicada no DODF nº 241 de 20/12/2018, que
nomeou a Comissão Permanente de Sindicância desta Região Administrativa/RAIII, determino:
Art. 2° Substituir o servidor ADÉCIO HENRIQUE ALVES, Analista em Políticas Públicas e Gestão
Governamental, matrícula nº 913316 pelo servidor THIAGO ALEXANDRE VALADÃO DE BRITO, Gestor
de Políticas Públicas e Gestão Governamental, matrícula 175.194-8.
Art. 3º Substituir a servidora LÚCIA MARIA GONÇALVES CARVALHO, Analista em Políticas Públicas e
Gestão Governamental, Matrícula nº 158930x pela servidora MAGNA APARECIDA DA MOTA, Técnica em
Políticas Públicas e Gestão Governamental, matrícula 30.659-2.
Art.4º A Comissão Permanente Sindicância fica assim composta: MARTA ROCHA DO ESPIRITO SANTO,
Gestora de Políticas Públicas e Gestão Governamental, matrícula 174.670-7 (presidente), THIAGO
ALEXANDRE VALADÃO DE BRITO, Gestor de Políticas Públicas e Gestão Governamental, matrícula
175.194-8 (membro); GILSON JOSÉ DE OLIVEIRA, Analista em Políticas Públicas e Gestão Governamental,
matrícula 30.464-6 ( membro) e MAGNA APARECIDA DA MOTA, Técnica em Políticas Públicas e Gestão
Governamental, matrícula 30.659-2 (suplente), para atuarem nos Processos de Sindicância desta Administração
Regional.
Art. 5º Esta Ordem de Serviço entra em vigor na data de sua publicação.
Art. 6º Revogam-se as disposições em contrário.
KAROLYNE GUIMARÃES DOS SANTOS BORGES",False
SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA,"LICITAÇÃO FECHADA LF nº 001/2019-Caesb, PROCESSO nº 092.004319/2018, OBJETO:
Implantação do Sistema de Abastecimento de Água do Complexo Penitenciário da Papuda (Poços,
Adutora de Água Bruta, Adutora de Água Tratada e Unidade de Tratamento Simplificado - UTS), São
Sebastião/DF. CRITÉRIO DE JULGAMENTO: Menor Preço. ABERTURA DA LICITAÇÃO:
05/02/2019 às 09 horas. VALOR ESTIMADO: R$ 4.262.836,27. DOTAÇÃO ORÇAMENTÁRIA: UO:
22.202; PROGRAMA DE TRABALHO: Projeto/Subtítulo 15.512.6210.1827/0001, NATUREZA DA
DESPESA: 44.90.51, Código de Aplicação 22.202.013.041-4. FONTE DE RECURSO:
SEF/GDF/CAESB-CDP, Código 21.203.400-010-0. PRAZO DE EXECUÇÃO: 210 dias consecutivos.
PRAZO DE VIGÊNCIA: 315 dias consecutivos. A partir do dia 11/01/2019, o edital e seus anexos
poderão ser encontrados no site www.caesb.df.gov.br - menu Licitações, em atendimento à Lei
Distrital nº 5.453/2015. Outras informações poderão ser obtidas por meio do telefone (61) 3213-7122
e do e-mail licitacao@caesb.df.gov.br.
MAURICIO KENJI SUEMORI
Presidente da Comissão",False
SECRETARIA DE ESTADO DE EDUCAÇÃO,"O SECRETÁRIO DE ESTADO DE EDUCAÇÃO DO DISTRITO FEDERAL, no uso das atribuições que
lhe confere o Decreto nº 39.133, de 15 de junho de 2018 e o Decreto nº 39.002, de 24 de abril de 2018,
e tendo em vista o disposto no art. 54, da Lei Complementar nº 840/11, e considerando o que consta nos
autos do Processo Administrativo SEI 00080-00181912/2018-12, resolve: declaraR VACÂNCIA do cargo
de Analista de Gestão Educacional, ocupado por ALAIN VALERIO MATOS SOUZA, matrícula 219.763-
4, padrão E1-NQ2, do Quadro de Pessoal da Secretaria de Estado de Educação do Distrito Federal, a
contar de 12/11/2018, em virtude de posse inacumulável em outro cargo.
RAFAEL DE CARVALHO PULLEN PARENTE",False
DEFENSORIA PÚBLICA DO DISTRITO FEDERAL,"A DEFENSORA PÚBLICA-GERAL DA DEFENSORIA PÚBLICA DO DISTRITO FEDERAL, no uso
das atribuições legais e tendo em vista o que dispõe a Lei Federal Complementar nº 80, de 12 de janeiro
de 1994 e artigo 44 da Lei Complementar nº 840, de 23 de dezembro de 2011 c/c com o Decreto 39.002,
de 24 de abril de 2018 e ainda a Emenda à Lei Orgânica nº 61, de 2012, resolve:
DESIGNAR DANNIEL VARGAS DE SIQUEIRA CAMPOS, matrícula nº 85000-4, para substituir
MARIA JOSÉ SILVA SOUZA DE NÁPOLIS, matrícula nº 165419-5, no cargo de Defensor Público-Geral,
símbolo CNP-03, da Defensoria Pública-Geral, da Defensoria Pública do Distrito Federal, no período de
07/01/2019 a 24/01/2019, por motivo de férias regulamentares da titular.
MARIA JOSÉ SILVA SOUZA DE NÁPOLIS",False
SECRETARIA DE ESTADO DE SAÚDE,"O SECRETÁRIO DE ESTADO DE SAÚDE DO DISTRITO FEDERAL, no uso das atribuições que lhe
confere o Decreto Nº 39.133, de 15 de junho de 2018, publicado no DODF Nº 114 de 18/06/2018,
resolve:
declaraR A VACÂNCIA da Carreira de VIGILANCIA AMBIENTAL E ATENCAO COMUNITARIA,
cargo de AGENTE COMUNITARIO DE SAUDE, TQ-S1, do Quadro de Pessoal do Distrito Federal
pertencente à Secretaria de Estado de Saúde do Distrito Federal, ocupado por MARIA INEZ DE SOUZA
CARVALHO, Matrícula nº 01554778, declarando vago o referido cargo, a contar de 02 de maio de 2018,
em virtude de sua posse em outro cargo inacumulável, nos termos do artigo 54, da Lei Complementar nº
840/2011, conforme processo nº 00060-00224039/2018-34.
RECONDUZIR, MARIA INEZ DE SOUZA CARVALHO, Matrícula nº 01554778, ao cargo de AGENTE
COMUNITARIO DE SAUDE, da Carreira de VIGILANCIA AMBIENTAL E ATENCAO
COMUNITARIA, para exercício na Secretaria de Estado de Saúde do Distrito Federal, a contar de 22 de
maio de 2018, por ter renunciado ao direito de se submeter ao estágio probatório no cargo de TECNICO
ENFERMAGEM da Secretaria de Estado de Saúde do Distrito Federal, conforme Processo nº 00060-
00224039/2018-34.
OSNEI OKUMOTO",False
TRIBUNAL DE CONTAS DO DISTRITO FEDERAL,"O PRESIDENTE EM EXERCÍCIO DO TRIBUNAL DE CONTAS DO DISTRITO FEDERAL, no uso
da atribuição que lhe confere o inciso III do art. 68 da Lei Complementar nº 1, de 9 de maio de
1994, e tendo em vista o que se apresenta no Processo nº 28/2019-e, resolve: EXONERAR, nos
termos do inciso I do art. 52 da Lei Complementar nº 840, de 23 de dezembro de 2011, LEONARDO
MOREIRA CARVALHO, matrícula nº 1554-7, Técnico de Administração Pública, Classe A, Padrão
30, do Quadro de Pessoal dos Serviços Auxiliares, do cargo em comissão de Secretário Executivo,
símbolo TC-CCG-3, do Gabinete do Conselheiro José Roberto de Paiva Martins.
MÁRCIO MICHEL",False
